#model_type   : 2-layer LSTM
#seq_length   : 30
#input_dim    : 93
#num_classes  : 93
#num_hidden   : 128
#batch_size   : 64
#learn_rate   : 0.002
#train_steps  : 50000
#max_norm     : 5.0
#lr_decay     : 0.96
#lr_step      : 5000
#train_step accuracy loss
27900 0.712 0.934
28000 0.691 0.982
28100 0.672 1.038
28200 0.687 0.992
28300 0.712 0.919
28400 0.709 0.920
28500 0.715 0.950
28600 0.685 0.993
28700 0.703 0.977
28800 0.711 0.955
28900 0.699 0.979
29000 0.680 1.037
29100 0.698 0.970
29200 0.698 0.966
29300 0.680 1.011
29400 0.677 1.023
29500 0.718 0.897
29600 0.704 0.960
29700 0.692 0.995
29800 0.688 0.975
29900 0.690 0.976
30000 0.698 0.975
30100 0.684 0.981
30200 0.704 0.929
30300 0.698 0.953
30400 0.706 0.948
30500 0.686 0.972
30600 0.711 0.919
30700 0.702 0.973
30800 0.698 0.965
30900 0.693 0.982
31000 0.734 0.893
31100 0.699 0.984
31200 0.681 0.980
31300 0.692 0.964
31400 0.702 0.944
31500 0.689 0.994
31600 0.692 0.973
31700 0.679 0.978
31800 0.693 0.956
31900 0.678 1.040
32000 0.718 0.926
32100 0.682 0.992
32200 0.703 0.946
32300 0.681 1.001
32400 0.719 0.937
32500 0.706 0.950
32600 0.705 0.974
32700 0.701 0.957
32800 0.702 0.938
32900 0.693 0.994
33000 0.684 1.014
33100 0.696 0.961
33200 0.708 0.950
33300 0.691 0.979
33400 0.689 0.974
33500 0.689 0.967
33600 0.715 0.942
33700 0.703 0.904
33800 0.693 0.958
33900 0.702 0.954
34000 0.703 0.959
34100 0.716 0.925
34200 0.686 0.963
34300 0.702 0.972
34400 0.712 0.926
34500 0.702 0.952
34600 0.697 0.966
34700 0.695 1.010
34800 0.719 0.928
34900 0.702 0.913
35000 0.693 0.970
35100 0.702 0.969
35200 0.712 0.921
35300 0.720 0.885
35400 0.681 1.000
35500 0.691 0.998
35600 0.680 1.002
35700 0.694 0.970
35800 0.709 0.932
35900 0.699 0.994
36000 0.690 0.959
36100 0.681 1.009
36200 0.697 0.947
36300 0.703 0.945
36400 0.698 0.960
36500 0.684 0.984
36600 0.698 0.959
36700 0.689 0.950
36800 0.707 0.936
36900 0.705 0.959
37000 0.705 0.961
37100 0.700 0.940
37200 0.710 0.945
37300 0.699 0.963
37400 0.716 0.871
37500 0.689 0.966
37600 0.715 0.925
37700 0.698 0.952
37800 0.695 0.970
37900 0.698 0.951
38000 0.699 0.966
38100 0.698 0.967
38200 0.691 0.984
38300 0.700 0.953
38400 0.708 0.941
38500 0.708 0.952
38600 0.702 0.936
38700 0.704 0.941
38800 0.703 0.942
38900 0.707 0.888
39000 0.708 0.899
39100 0.708 0.921
39200 0.707 0.933
39300 0.692 0.966
39400 0.699 0.968
39500 0.695 0.932
39600 0.709 0.961
39700 0.714 0.942
39800 0.701 0.968
39900 0.711 0.921
40000 0.678 0.999
40100 0.693 0.961
40200 0.685 0.984
40300 0.692 0.938
40400 0.689 0.990
40500 0.686 0.985
40600 0.693 0.951
40700 0.699 0.974
40800 0.706 0.956
40900 0.701 0.945
41000 0.691 1.003
41100 0.698 0.924
41200 0.703 0.916
41300 0.711 0.944
41400 0.686 0.981
41500 0.711 0.940
41600 0.698 0.988
41700 0.698 0.924
41800 0.706 0.915
41900 0.699 0.927
42000 0.722 0.888
42100 0.671 0.989
42200 0.700 0.949
42300 0.711 0.945
42400 0.702 0.964
42500 0.715 0.912
42600 0.698 0.956
42700 0.706 0.933
42800 0.692 0.976
42900 0.713 0.934
43000 0.711 0.932
43100 0.705 0.928
43200 0.712 0.956
43300 0.711 0.943
43400 0.713 0.877
43500 0.705 0.908
43600 0.698 0.960
43700 0.706 0.918
43800 0.711 0.936
43900 0.695 0.976
44000 0.692 0.987
44100 0.693 0.963
44200 0.703 0.943
44300 0.707 0.948
44400 0.705 0.953
44500 0.723 0.891
44600 0.707 0.908
44700 0.690 0.970
44800 0.694 0.951
44900 0.705 0.937
45000 0.710 0.941
45100 0.716 0.909
45200 0.726 0.864
45300 0.710 0.919
45400 0.703 0.920
45500 0.687 0.982
45600 0.699 0.966
45700 0.703 0.937
45800 0.714 0.923
45900 0.719 0.895
46000 0.688 0.988
46100 0.703 0.976
46200 0.692 0.938
46300 0.703 0.954
46400 0.706 0.942
46500 0.710 0.900
46600 0.704 0.932
46700 0.690 0.980
46800 0.707 0.968
46900 0.709 0.943
47000 0.724 0.885
47100 0.701 0.939
47200 0.689 0.975
47300 0.724 0.887
47400 0.691 0.924
47500 0.695 0.940
47600 0.706 0.935
47700 0.701 0.957
47800 0.690 0.969
47900 0.712 0.933
48000 0.711 0.925
48100 0.701 0.939
48200 0.712 0.902
48300 0.707 0.909
48400 0.688 0.987
48500 0.705 0.914
48600 0.703 0.943
48700 0.726 0.896
48800 0.705 0.940
48900 0.696 0.979
49000 0.704 0.955
49100 0.727 0.879
49200 0.703 0.923
49300 0.703 0.958
49400 0.693 0.956
49500 0.698 0.933
49600 0.682 0.988
49700 0.676 1.009
49800 0.692 0.972
49900 0.729 0.880
50000 0.702 0.974
