#learning_rate : 0.001
#z_dim : 20
#epochs : 40
#epoch train_elbo val_elbo
0 195.30116271972656 163.5288543701172
1 151.4180908203125 144.96055603027344
2 134.31971740722656 130.01223754882812
3 123.60436248779297 122.79065704345703
4 117.3224105834961 120.20452880859375
5 113.6741714477539 113.60286712646484
6 111.3206558227539 112.32099914550781
7 109.70611572265625 111.5008544921875
8 108.79411315917969 109.59243774414062
9 107.84443664550781 107.19878387451172
10 106.42674255371094 110.15243530273438
11 105.55833435058594 106.1451187133789
12 104.84354400634766 105.6001968383789
13 103.67445373535156 104.15174102783203
14 102.81275177001953 103.42385864257812
15 102.11793518066406 105.41387939453125
16 100.98200225830078 102.35193634033203
17 100.49506378173828 101.84856414794922
18 99.4764175415039 101.4384765625
19 98.94049835205078 100.74848937988281
20 98.37091827392578 102.06803894042969
21 98.0703353881836 102.71055603027344
22 97.22666931152344 100.1904067993164
23 96.91696166992188 99.41802978515625
24 96.38485717773438 99.15657806396484
25 96.03809356689453 100.6559066772461
26 95.82254028320312 97.99158477783203
27 95.22476196289062 97.79129791259766
28 95.35916900634766 97.92049407958984
29 94.80799865722656 95.68392944335938
30 94.69335174560547 96.77568054199219
31 94.33809661865234 95.47653198242188
32 93.65736389160156 98.52928924560547
33 93.81169128417969 97.86341094970703
34 93.5203857421875 97.2068862915039
35 93.40829467773438 96.21556854248047
36 93.08007049560547 97.1158218383789
37 92.84040832519531 95.32097625732422
38 92.71956634521484 96.43537902832031
39 92.51021575927734 94.78333282470703
